,VT,MPT,YPT,CT
PV,0.8340440904634852,0.9914161441107772,0.9970033484108862,0.992
PV_BESS,0.6262846931146481,0.4428018789096976,0.5472968126018596,0.7505258445258446
EV_PV,0.8833357678586691,0.9944611951199273,0.9981614564650768,0.9953846153846154
EV_PV_BESS,0.7485508190254193,0.6761352867584779,0.6984220464751617,0.78772385022385
